,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
168,5127,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
169,5129,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
170,5131,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.8,11216,70,1,5,0
171,5133,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
172,5135,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
173,5137,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
174,5139,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
175,5141,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
176,5143,,,,737501.0,737503.0,737503.0,737500.0,737495.0,2.5,1.5,20706,565,6,9,0
177,5145,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
178,5147,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
179,5149,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
180,6001,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,7.1,8.9,222025,2682,10,32,15
181,6003,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
182,6005,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.8,0.3,2268,66,2,4,0
183,6007,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.9,1.7,28092,478,5,13,1
184,6009,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.6,0.1,972,51,1,1,1
185,6011,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
186,6013,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,5.0,4.0,91167,1068,7,26,11
187,6015,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.1,1.1,4316,220,4,7,0
188,6017,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.3,0.6,5406,134,2,3,1
189,6019,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.2,2.1,48607,611,3,16,1
190,6021,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
191,6023,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.1,1.1,12880,198,3,6,2
192,6025,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.1,0.0,803,3,0,0,0
193,6027,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.4,0.1,216,27,1,1,1
194,6029,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.1,1.9,26813,552,3,12,0
195,6031,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.0,0.8,9939,450,7,7,0
196,6033,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.8,0.9,3318,174,2,7,1
197,6035,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.9,0.4,1638,51,2,3,0
198,6037,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,6.8,8.0,321664,2608,8,46,6
199,6039,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.2,0.6,6065,101,2,2,0
