FIPS,staffed_beds,licensed_beds,icu_beds
31055,2208,2705,234
31057,14,14,0
31059,20,20,0
31061,14,14,0
31065,20,20,0
31067,25,25,3
31069,10,10,0
31079,140,159,16
31081,14,12,0
31083,19,19,0
31089,42,42,0
31093,16,16,0
31095,17,17,0
31097,18,18,0
31099,10,10,0
31101,18,18,0
31105,15,15,0
31107,23,23,0
31109,1392,1144,52
31111,97,116,19
31119,131,0,24
31121,20,20,0
31123,20,20,0
31125,19,19,0
31127,16,16,0
31129,25,25,0
31131,28,36,0
31133,17,11,0
31135,20,20,0
31137,25,25,0
31139,35,35,0
31141,47,47,5
31143,16,16,0
31145,25,25,0
31147,24,24,0
31149,24,24,0
31151,43,43,0
31153,89,212,8
31155,16,16,0
31157,122,166,22
31159,24,24,0
31161,25,25,0
31169,19,17,0
31173,34,21,0
31175,16,16,0
31177,21,21,0
31179,25,0,0
31181,13,13,0
31185,38,38,0
32001,25,40,0
32003,6323,5370,452
32005,23,23,0
32007,59,75,7
32013,25,53,3
32015,5,25,0
32017,4,20,0
32019,14,63,0
32021,11,35,0
32023,25,25,0
32027,13,38,0
32031,1429,1705,290
32033,25,25,0
32510,219,234,24
33001,86,137,10
33003,50,50,8
33005,86,169,27
33007,66,66,3
33009,553,506,52
33011,1002,1082,62
33013,474,395,18
33015,506,573,43
33017,182,290,17
33019,25,25,0
34001,1602,906,54
34003,3025,3011,112
34005,983,1046,82
34007,2244,2142,166
34009,149,242,16
34011,321,335,12
34013,2906,3581,215
34015,233,311,14
34017,1086,1851,89
34019,170,184,12
34021,1399,1147,80
34023,2808,2071,97
34025,1643,2151,128
34027,1867,1528,81
34029,1325,1528,94
34031,1740,1187,53
34033,209,222,19
34035,820,642,28
34037,130,148,10
34039,1010,1401,55
34041,156,309,20
35001,2647,1958,117
35005,204,232,24
35006,31,25,4
35007,25,25,4
35009,106,106,8
35013,663,427,51
35015,130,164,12
35017,32,68,6
35019,10,10,0
35025,86,230,8
35027,25,25,4
35028,47,47,6
35029,25,25,6
35031,148,98,5
35035,56,100,10
35039,52,70,8
35041,20,24,0
35043,200,259,0
35045,260,210,10
35047,226,175,8
35049,244,219,24
35051,11,25,0
35053,24,24,0
35055,6,25,6
35059,50,50,0
36001,1623,899,81
36003,69,70,6
36005,4602,3000,201
36007,772,742,47
36009,260,186,0
36011,85,99,0
36013,208,386,26
36015,325,391,20
36017,58,58,7
36019,300,300,21
36021,95,192,9
36023,103,162,12
36025,56,0,0
36027,874,692,27
36029,2653,2664,190
36031,25,0,0
36033,131,171,13
36035,58,74,8
36037,131,0,10
36043,25,0,0
36045,287,290,10
36047,4557,5746,248
36049,25,0,6
36051,67,67,0
36053,126,101,6
36055,2038,1139,154
36057,100,120,8
36059,4187,4377,235
36061,9382,9378,725
36063,411,482,32
36065,903,701,26
36067,2113,1762,118
36069,307,399,27
36071,986,807,76
36073,25,0,0
36075,132,132,8
36077,227,180,14
36079,120,164,10
36081,3438,2857,92
36083,257,227,24
36085,1254,1114,62
36087,1144,791,0
36089,384,259,20
36091,259,171,0
36093,351,538,36
36095,40,40,0
