,Parks,Parks,Parks
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
28095,,,
28097,,,
28099,,,
28101,,,
28103,,,
28105,,,
28107,,,
28109,,,
28111,-22.0,-43.0,-25.0
28113,,,
28115,,,
28117,,,
28119,,,
28121,-9.0,-59.0,-63.0
28123,,,
28127,,,
28129,,,
28131,,,
28133,,,
28135,,,
28137,,,
28139,,,
28141,,,
28143,,,
28145,,,
28147,,,
28149,-20.0,-34.0,-42.0
28151,,,
28153,,,
28155,,,
28157,,,
28159,,,
28161,,,
28163,,,
29001,,,
29003,,,
29007,,,
29009,,,
29011,,,
29013,,,
29015,,,
29017,,,
29019,65.0,22.0,-13.0
29021,,,
29023,,,
29025,,,
29027,,,
29029,,,
29031,0.0,-3.0,0.0
29033,,,
29037,29.0,20.0,6.0
29039,,,
29041,,,
29043,-19.0,-62.0,-34.0
29045,,,
29047,214.0,118.0,146.0
29049,,,
29051,,,
29053,,,
29055,,,
29057,,,
29059,,,
29061,,,
29063,,,
29065,,,
29067,,,
29069,,,
29071,61.0,-14.0,22.0
29073,,,
29075,,,
29077,43.0,-13.0,-25.0
29079,,,
29081,,,
29083,,,
29085,,,
29089,,,
29091,,,
29093,104.0,46.0,44.0
29095,28.0,-8.0,-6.0
29097,42.0,-7.0,1.0
29099,94.0,6.0,6.0
29101,,,
29105,,,
29107,,,
29109,,,
29111,,,
29113,,,
29115,,,
29117,,,
29119,,,
29121,,,
29123,,,
29125,,,
29127,,,
29131,-32.0,-32.0,-32.0
29133,,,
29135,,,
29137,,,
29139,,,
29141,,,
29143,,,
29145,7.0,40.0,52.0
29147,,,
29149,,,
29151,,,
29153,,,
29155,,,
29157,,,
29159,,,
29161,,,
29163,,,
29165,-19.0,8.0,8.0
29167,-46.0,-63.0,-46.0
29169,,,
29171,,,
29173,,,
29175,,,
29177,,,
29181,,,
29183,63.0,-9.0,24.0
29185,,,
29186,,,
29187,-29.0,-29.0,-29.0
29189,87.0,-42.0,-5.0
29195,,,
29197,,,
29201,,,
29203,,,
29205,,,
29207,,,
29209,,,
29211,,,
29213,41.0,-12.0,-27.0
29215,,,
29217,,,
29219,,,
29221,,,
29223,,,
29225,,,
29229,,,
30001,,,
30003,,,
30005,,,
30007,,,
30009,,,
30013,-22.0,-28.0,-60.0
30017,,,
30021,,,
30023,,,
30027,,,
30029,-35.0,-44.0,-56.0
30031,61.0,39.0,-61.0
30035,,,
30041,,,
30043,,,
30047,,,
30049,19.0,23.0,-56.0
30053,,,
30057,-42.0,-47.0,-62.0
