,fips,pclon10,pclat10
630,17065,-88.55774699999999,38.092156
631,17067,-91.203133,40.425725
632,17069,-88.290573,37.478453
633,17071,-90.9448,40.828841
634,17073,-90.134757,41.348782
635,17075,-87.834391,40.763597
636,17077,-89.27403100000001,37.747793
637,17079,-88.159885,39.003765
638,17081,-88.91080799999999,38.308488
639,17083,-90.32042,39.072862
640,17085,-90.305944,42.411324
641,17087,-88.882358,37.474558
642,17089,-88.331264,41.918110999999996
643,17091,-87.85086700000001,41.148582
644,17093,-88.37906600000001,41.663724
645,17095,-90.328601,40.937032
646,17097,-87.96945799999999,42.313072
647,17099,-88.895997,41.350798
648,17101,-87.748328,38.718291
649,17103,-89.398207,41.810241999999995
650,17105,-88.573187,40.907044
651,17107,-89.36150500000001,40.140775
652,17109,-90.669344,40.469471999999996
653,17111,-88.34988,42.271471999999996
654,17113,-88.954977,40.494122999999995
655,17115,-88.947076,39.851176
656,17117,-89.87703499999999,39.19403
657,17119,-90.018097,38.801396000000004
658,17121,-89.01696700000001,38.590709999999994
659,17123,-89.315638,41.043034000000006
660,17125,-89.898924,40.286475
661,17127,-88.714109,37.178592
662,17129,-89.79950699999999,39.99726
663,17131,-90.687167,41.214043
664,17133,-90.171163,38.358529
665,17135,-89.505319,39.198961
666,17137,-90.231161,39.718154999999996
667,17139,-88.614419,39.631979
668,17141,-89.256098,42.028653000000006
669,17143,-89.638993,40.742915
670,17145,-89.323862,38.058514
671,17147,-88.581585,40.007008
672,17149,-90.859127,39.621311
673,17151,-88.54991,37.39893
674,17153,-89.13475,37.199543
675,17155,-89.270945,41.229306
676,17157,-89.809249,38.055541
677,17159,-88.08831500000001,38.725943
678,17161,-90.504005,41.489142
679,17163,-90.000674,38.550219
680,17165,-88.536395,37.754785999999996
681,17167,-89.652867,39.772757
682,17169,-90.568639,40.13118
683,17171,-90.462754,39.645737
684,17173,-88.802073,39.396539000000004
685,17175,-89.792451,41.098377
686,17177,-89.644541,42.324139
687,17179,-89.534104,40.602899
688,17181,-89.23650500000001,37.468579999999996
689,17183,-87.65480600000001,40.149683
690,17185,-87.789625,38.431283
691,17187,-90.636371,40.890638
692,17189,-89.39393000000001,38.359407
693,17191,-88.422496,38.406869
694,17193,-88.19224100000001,38.089959
695,17195,-89.82325300000001,41.780798
696,17197,-88.057232,41.565138
697,17199,-88.974979,37.755675
698,17201,-89.06224,42.307128000000006
699,17203,-89.29030999999999,40.771239
700,18001,-84.93431700000001,40.753766999999996
701,18003,-85.12232900000001,41.098642
702,18005,-85.902794,39.216784999999994
703,18007,-87.291433,40.575066
704,18009,-85.34419,40.469726
705,18011,-86.398737,40.013009000000004
706,18013,-86.20969000000001,39.236241
707,18015,-86.600098,40.578983
708,18017,-86.33959200000001,40.747104
709,18019,-85.732035,38.371546
710,18021,-87.124217,39.469066
711,18023,-86.51230699999999,40.298201
712,18025,-86.42344399999999,38.313435
713,18027,-87.098076,38.696963000000004
714,18029,-84.920935,39.14462
715,18031,-85.49421099999999,39.319975
716,18033,-85.034285,41.378214
717,18035,-85.401962,40.20517
718,18037,-86.91403199999999,38.357067
719,18039,-85.906728,41.637679
720,18041,-85.14749599999999,39.640791
721,18043,-85.855645,38.321514
722,18045,-87.271946,40.152089000000004
723,18047,-85.070265,39.401885
724,18049,-86.220078,41.059389
725,18051,-87.546685,38.30918
726,18053,-85.644413,40.525253
727,18055,-86.992172,39.052316
728,18057,-86.059737,40.002534000000004
729,18059,-85.824125,39.811662
730,18061,-86.097474,38.233745
731,18063,-86.41505500000001,39.772784
732,18065,-85.403678,39.928644
733,18067,-86.132959,40.470704
734,18069,-85.487085,40.870224
735,18071,-85.942654,38.925896
736,18073,-87.149436,41.075783
737,18075,-85.033025,40.428424
738,18077,-85.43369200000001,38.758956
739,18079,-85.648821,39.005169
740,18081,-86.113609,39.553276000000004
741,18083,-87.45768000000001,38.698623
742,18085,-85.830484,41.266796
743,18087,-85.46117,41.6324
744,18089,-87.40815500000001,41.526226
745,18091,-86.790977,41.631837
746,18093,-86.49571800000001,38.846385999999995
747,18095,-85.708901,40.11412
748,18097,-86.13590500000001,39.791299
749,18099,-86.27308199999999,41.347248
750,18101,-86.848113,38.678357
751,18103,-86.073933,40.730651
752,18105,-86.537697,39.162879
753,18107,-86.90006,40.035109999999996
754,18109,-86.39931800000001,39.512251
755,18111,-87.380385,40.994087
756,18113,-85.391205,41.413892
757,18115,-84.911295,38.954549
758,18117,-86.49698199999999,38.562156
759,18119,-86.79982199999999,39.315596
760,18121,-87.227997,39.758327
761,18123,-86.705205,38.009327
762,18125,-87.233923,38.424833
763,18127,-87.105308,41.513678999999996
764,18129,-87.823041,38.013245
765,18131,-86.685266,41.050592
766,18133,-86.835611,39.646107
767,18135,-84.997064,40.168572999999995
768,18137,-85.218379,39.159402
769,18139,-85.47456899999999,39.623616
770,18141,-86.228686,41.6754
771,18143,-85.762718,38.698198
772,18145,-85.789825,39.536039
773,18147,-87.011149,38.015495
774,18149,-86.631962,41.282896
775,18151,-85.010662,41.649521
776,18153,-87.39098800000001,39.103093
777,18155,-85.023499,38.819835
778,18157,-86.886971,40.41788
779,18159,-86.050587,40.308849
780,18161,-84.919102,39.618626
781,18163,-87.551819,37.996062
782,18165,-87.44023100000001,39.763164
783,18167,-87.387985,39.460817
784,18169,-85.80237199999999,40.858522
785,18171,-87.326289,40.312186
786,18173,-87.352574,38.012884
787,18175,-86.08667700000001,38.572886
788,18177,-84.949811,39.842737
789,18179,-85.194412,40.770771
790,18181,-86.81030600000001,40.755697999999995
791,18183,-85.47848,41.163144
792,19001,-94.479157,41.344629
793,19003,-94.70963499999999,41.006693
794,19005,-91.417115,43.25705
795,19007,-92.86703399999999,40.739836
796,19009,-94.925302,41.676829
797,19011,-92.017478,42.06222
798,19013,-92.370013,42.490851
799,19015,-93.895155,42.026494
800,19017,-92.37696700000001,42.743058000000005
801,19019,-91.901041,42.486957000000004
802,19021,-95.181444,42.679153
