FIPS,03/29/20_residential,04/05/20_residential,03/29/20_workplaces,04/05/20_workplaces,03/29/20_transit,04/05/20_transit,03/29/20_parks,04/05/20_parks,03/29/20_grocery,04/05/20_grocery,03/29/20retail,04/05/20retail
8125,,,-30.0,-23.0,,,,,-22.0,-26.0,-33.0,-33.0
9001,17.0,16.0,-44.0,-44.0,-72.0,-71.0,-60.0,6.0,-35.0,-30.0,-61.0,-56.0
9003,13.0,12.0,-35.0,-36.0,-61.0,-56.0,-48.0,31.0,-31.0,-25.0,-56.0,-51.0
9005,13.0,11.0,-33.0,-36.0,,,-40.0,86.0,-27.0,-27.0,-51.0,-45.0
9007,15.0,13.0,-38.0,-35.0,-60.0,-53.0,-49.0,85.0,-28.0,-27.0,-58.0,-49.0
9009,14.0,13.0,-36.0,-38.0,-62.0,-58.0,-52.0,7.0,-31.0,-23.0,-56.0,-50.0
9011,15.0,13.0,-41.0,-39.0,-67.0,-60.0,-45.0,22.0,-28.0,-20.0,-56.0,-51.0
9013,14.0,14.0,-37.0,-39.0,-38.0,-43.0,-38.0,96.0,-33.0,-29.0,-59.0,-48.0
9015,12.0,11.0,-32.0,-32.0,-69.0,-66.0,-58.0,24.0,-27.0,-22.0,-42.0,-39.0
10001,11.0,11.0,-35.0,-37.0,-50.0,-26.0,2.0,37.0,-32.0,-29.0,-45.0,-42.0
10003,13.0,12.0,-37.0,-38.0,-60.0,-56.0,5.0,76.0,-31.0,-30.0,-48.0,-48.0
10005,11.0,11.0,-36.0,-39.0,-40.0,-48.0,-5.0,3.0,-23.0,-26.0,-46.0,-48.0
12001,12.0,14.0,-37.0,-40.0,-48.0,-54.0,-32.0,-53.0,-26.0,-30.0,-54.0,-57.0
12003,-3.0,-3.0,-27.0,-30.0,-45.0,-55.0,,,-8.0,-6.0,-23.0,-38.0
