,FIPS,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post
1845,36035,1,58.0,74.0,8.0,8
1846,36037,1,131.0,0.0,10.0,10
1849,36043,1,25.0,0.0,0.0,0
1850,36045,3,287.0,290.0,10.0,10
1851,36047,12,4557.0,5746.0,248.0,318
1852,36049,1,25.0,0.0,6.0,6
1853,36051,1,67.0,67.0,0.0,0
1854,36053,2,126.0,101.0,6.0,6
1855,36055,5,2038.0,1139.0,154.0,191
1856,36057,1,100.0,120.0,8.0,8
1857,36059,10,4187.0,4377.0,235.0,461
1858,36061,12,9382.0,9378.0,725.0,761
1859,36063,3,411.0,482.0,32.0,32
1860,36065,3,903.0,701.0,26.0,51
1861,36067,3,2113.0,1762.0,118.0,152
1862,36069,3,307.0,399.0,27.0,27
1863,36071,4,986.0,807.0,76.0,76
1864,36073,1,25.0,0.0,0.0,0
1865,36075,1,132.0,132.0,8.0,8
1866,36077,2,227.0,180.0,14.0,14
1867,36079,1,120.0,164.0,10.0,10
1868,36081,6,3438.0,2857.0,92.0,129
1869,36083,3,257.0,227.0,24.0,12
1870,36085,2,1254.0,1114.0,62.0,114
1871,36087,3,1144.0,791.0,0.0,39
1872,36089,5,384.0,259.0,20.0,20
1873,36091,1,259.0,171.0,0.0,19
1874,36093,2,351.0,538.0,36.0,36
1875,36095,1,40.0,40.0,0.0,0
1876,36097,1,25.0,0.0,0.0,0
1878,36101,3,95.0,115.0,8.0,8
1879,36103,10,3509.0,3181.0,250.0,281
1880,36105,2,99.0,154.0,0.0,10
1882,36109,1,163.0,212.0,16.0,16
1883,36111,3,209.0,300.0,25.0,25
1884,36113,1,361.0,406.0,24.0,24
1886,36117,1,101.0,120.0,8.0,8
1887,36119,9,3160.0,3396.0,158.0,179
1888,36121,1,50.0,62.0,5.0,5
1889,36123,1,25.0,0.0,0.0,0
1890,37001,1,176.0,238.0,20.0,20
1892,37005,1,25.0,41.0,0.0,0
1893,37007,1,15.0,15.0,0.0,0
1894,37009,1,25.0,76.0,0.0,0
1895,37011,1,21.0,50.0,0.0,0
1896,37013,1,72.0,142.0,8.0,8
1897,37015,1,6.0,6.0,0.0,0
1898,37017,1,25.0,58.0,4.0,4
1899,37019,2,126.0,99.0,19.0,19
1900,37021,1,1708.0,884.0,146.0,166
1901,37023,1,587.0,315.0,16.0,16
1902,37025,1,540.0,497.0,15.0,25
1903,37027,1,110.0,110.0,12.0,12
1905,37031,1,99.0,135.0,8.0,8
1907,37035,2,426.0,613.0,52.0,52
1908,37037,1,25.0,25.0,4.0,4
1909,37039,1,25.0,57.0,0.0,0
1910,37041,1,25.0,49.0,4.0,4
1912,37045,2,292.0,308.0,57.0,57
1913,37047,1,154.0,154.0,0.0,10
1914,37049,1,286.0,350.0,72.0,72
1915,37051,1,726.0,700.0,56.0,48
1917,37055,1,21.0,21.0,0.0,0
1918,37057,2,154.0,240.0,29.0,29
1919,37059,1,50.0,50.0,0.0,0
1920,37061,1,49.0,81.0,9.0,9
1921,37063,3,1376.0,1374.0,70.0,148
1922,37065,1,101.0,117.0,15.0,15
1923,37067,3,2172.0,1878.0,180.0,259
1925,37071,1,423.0,475.0,57.0,74
1928,37077,1,1342.0,142.0,6.0,6
1930,37081,2,1354.0,1411.0,107.0,142
1931,37083,2,106.0,204.0,16.0,16
1932,37085,1,268.0,151.0,14.0,14
1933,37087,1,122.0,159.0,12.0,12
1934,37089,2,233.0,325.0,27.0,27
1935,37091,1,70.0,114.0,10.0,10
1936,37093,1,61.0,49.0,0.0,0
1938,37097,3,406.0,514.0,36.0,36
1939,37099,1,82.0,86.0,9.0,9
1940,37101,1,229.0,199.0,24.0,24
1942,37105,1,127.0,137.0,8.0,8
1943,37107,1,1086.0,261.0,0.0,14
1944,37109,1,101.0,101.0,10.0,10
1945,37111,1,49.0,65.0,9.0,9
1946,37113,2,49.0,83.0,5.0,5
1948,37117,1,43.0,49.0,6.0,6
1949,37119,7,2898.0,2646.0,141.0,173
1950,37121,1,25.0,46.0,0.0,0
1951,37123,1,4.0,37.0,0.0,0
1952,37125,1,412.0,402.0,0.0,68
1953,37127,1,372.0,395.0,21.0,21
1954,37129,2,992.0,769.0,29.0,57
1956,37133,1,306.0,162.0,14.0,14
1957,37135,1,1086.0,905.0,0.0,13
1959,37139,1,91.0,182.0,10.0,10
1960,37141,1,25.0,86.0,0.0,0
1962,37145,1,38.0,98.0,6.0,6
1963,37147,1,930.0,909.0,71.0,71
1964,37149,1,25.0,35.0,6.0,6
1965,37151,1,145.0,145.0,12.0,12
1966,37153,0,99.0,99.0,0.0,0
1967,37155,1,256.0,452.0,25.0,25
1968,37157,1,218.0,218.0,9.0,9
1969,37159,1,169.0,268.0,20.0,20
1970,37161,1,111.0,143.0,18.0,18
1971,37163,1,71.0,146.0,8.0,8
1972,37165,1,97.0,104.0,8.0,8
1973,37167,1,97.0,109.0,10.0,10
1974,37169,1,25.0,99.0,0.0,0
1975,37171,2,181.0,226.0,10.0,10
1976,37173,2,44.0,48.0,0.0,0
1977,37175,1,25.0,92.0,4.0,4
1979,37179,1,182.0,252.0,14.0,14
1980,37181,1,91.0,102.0,20.0,20
1981,37183,4,2920.0,1704.0,117.0,175
1983,37187,1,25.0,0.0,0.0,0
1984,37189,1,95.0,117.0,10.0,10
1985,37191,1,514.0,316.0,16.0,16
1986,37193,1,93.0,130.0,8.0,8
1987,37195,1,270.0,294.0,14.0,14
1990,38001,1,25.0,25.0,0.0,0
1991,38003,1,25.0,25.0,0.0,0
1994,38009,1,25.0,25.0,0.0,0
1995,38011,1,23.0,23.0,0.0,0
1997,38015,2,458.0,510.0,52.0,72
1998,38017,2,1407.0,1052.0,111.0,111
1999,38019,1,20.0,20.0,0.0,0
2000,38021,1,20.0,20.0,0.0,0
2001,38023,1,15.0,15.0,0.0,0
2004,38029,1,14.0,14.0,0.0,0
2005,38031,1,25.0,25.0,0.0,0
2007,38035,2,384.0,404.0,16.0,26
2008,38037,1,30.0,30.0,0.0,0
2009,38039,1,18.0,18.0,0.0,0
2015,38051,2,44.0,44.0,0.0,0
2016,38053,1,24.0,24.0,0.0,0
2017,38055,2,47.0,47.0,0.0,0
2018,38057,1,13.0,13.0,0.0,0
2019,38059,0,41.0,41.0,0.0,0
2020,38061,1,11.0,11.0,0.0,0
2021,38063,1,19.0,19.0,0.0,0
2023,38067,1,20.0,20.0,0.0,0
2024,38069,1,25.0,25.0,0.0,0
2025,38071,1,25.0,25.0,0.0,0
