,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
19065,-11.0,7.0,7.0
19067,-21.0,-12.0,-12.0
19069,-16.0,7.0,7.0
19071,-9.0,-9.0,
19073,2.0,4.0,4.0
19075,-33.0,-25.0,-25.0
19077,,,
19079,-6.0,-3.0,-3.0
19081,-22.0,-2.0,-2.0
19083,15.0,26.0,26.0
19085,0.0,3.0,3.0
19087,-17.0,12.0,12.0
19089,-5.0,4.0,4.0
19091,-7.0,-7.0,-7.0
19093,,,
19095,-9.0,4.0,4.0
19097,-10.0,16.0,16.0
19099,60.0,97.0,97.0
19101,,,
19103,-36.0,-30.0,-24.0
19105,4.0,14.0,14.0
19107,,,
19109,47.0,60.0,60.0
19111,-13.0,-4.0,-1.0
19113,-7.0,11.0,10.0
19115,,,
19117,6.0,8.0,8.0
19119,,,
19121,33.0,26.0,26.0
19123,,,
19125,26.0,43.0,43.0
19127,-15.0,-4.0,7.0
19129,,,
19131,,,
19133,,,
19135,,,
19137,2.0,-3.0,-3.0
19139,33.0,51.0,51.0
19141,-6.0,-9.0,-9.0
19143,,,
19145,,,
19147,-55.0,-18.0,-18.0
19149,6.0,16.0,16.0
19151,,,
19153,-9.0,-2.0,5.0
19155,2.0,7.0,17.0
19157,-15.0,-5.0,-5.0
19161,,,
19163,-22.0,-8.0,-2.0
19165,-5.0,-14.0,-14.0
19167,4.0,11.0,11.0
19169,-29.0,-26.0,-9.0
19171,-18.0,-7.0,-7.0
19173,,,
19175,,,
19177,-7.0,-7.0,
19179,8.0,19.0,19.0
19181,-13.0,-10.0,7.0
19183,-19.0,-9.0,-9.0
19185,,,
19187,22.0,44.0,44.0
19189,-18.0,-16.0,-16.0
19191,-33.0,-17.0,-17.0
19193,-3.0,9.0,4.0
19195,-42.0,-31.0,-31.0
19197,-4.0,4.0,4.0
20001,-2.0,-2.0,-2.0
20003,,,
20005,,,
20009,3.0,-16.0,-16.0
